Nr;Film;Erscheinungsjahr;Regisseur;Genre;Bewertung
286;Mission: Impossible: Rogue Nation;2015;Christopher McQuarrie;;8
287;Monuments Men: Ungewöhnliche Helden;2013;George Clooney;;8
288;Mortal Kombat;1995;Paul W.S. Anderson;;7
289;Mulan;1998;Tony Bancroft;Disney;0
290;Noah;2014;Darren Aronofsky;;9
291;Non-Stop;2014;Jaume Collet-Serra;;
292;Oblivion;2013;Joseph Kosinski;;
293;Olympus Has Fallen;2013;Antoine Fuqua;;
294;Operation Walküre: Das Stauffenberg Attentat;2008;Bryan Singer;;
295;Operation: Kingdom;2007;Peter Berg;;
296;Pacific Rim;2013;Guillermo del Toro;;
297;Pacific Rim: Uprising;2018;Steven S. DeKnight;;
298;Pain & Gain;2013;Michael Bay;;
299;Pakt der Rache;2011;Roger Donaldson;;
300;Parker;2013;Taylor Hackford;;
301;Passengers;2016;Morten Tyldum;;
302;Patton;1970;Franklin J. Schaffner;;
303;Peter Hase;2018;Will Gluck;;
304;Peter Pan;1953;Clyde Geronimi;;
305;Pets;2016;Yarrow Cheney;;
306;Phantastische Tierwesen und wo sie zu finden sind;2016;David Yates;;
307;Pirates of the Caribbean: Salazars Rache;2017;Joachim RÃ¸nning;;
308;Pitch Black;1999;David Twohy;;
309;Pitch Perfect;2012;Jason Moore;;
310;Pitch Perfect 2;2015;Elizabeth Banks;;
311;Pocahontas;1995;Mike Gabriel;;
312;Power Rangers;2017;Dean Israelite;;
313;Priest;2011;Scott Charles Stewart;;
314;Project X;2012;Nima Nourizadeh;;
315;R.E.D. 2: Noch Älter. Härter. Besser.;2013;Dean Parisot;;
316;R.E.D.: Älter. Härter. Besser.;2010;Robert Schwentke;;
317;R.I.P.D. - Rest in Peace Department;2013;Robert Schwentke;;
318;Ratatouille;2007;Brad Bird;;
319;Ready Player One;2018;Steven Spielberg;;
320;Real Steel;2011;Shawn Levy;;
321;Red Tails;2012;Anthony Hemingway;;
322;Resident Evil;2002;Paul W.S. Anderson;;
323;Resident Evil: Afterlife;2010;Paul W.S. Anderson;;
324;Resident Evil: Apocalypse;2004;Alexander Witt;;
325;Resident Evil: Extinction;2007;Russell Mulcahy;;
326;Resident Evil: Retribution;2012;Paul W.S. Anderson;;
327;Resident Evil: The Final Chapter;2016;Paul W.S. Anderson;;
328;RoboCop;2014;JosÃ© Padilha;;
329;RockNRolla;2008;Guy Ritchie;;
330;Rogue One: A Star Wars Story;2016;Gareth Edwards;;
331;Rubinrot;2013;;;
332;Sabotage;2014;David Ayer;;
333;San Andreas;2015;Brad Peyton;;
334;Schlussmacher;2013;Matthias Schweighöfer;;
335;Schneewittchen und die sieben Zwerge;1937;William Cottrell;;
336;Seelen;2013;Andrew Niccol;;
337;Seventh Son;2014;Sergey Bodrov;;
338;Sherlock Holmes;2009;Guy Ritchie;;
339;Sherlock Holmes: Spiel im Schatten;2011;Guy Ritchie;;
340;Shoot 'Em Up;2007;Michael Davis;;
341;Shooter;2007;Antoine Fuqua;;
342;Sieben Leben;2008;Gabriele Muccino;;
343;Skyfall;2012;Sam Mendes;;
344;Sleepless: Eine tödliche Nacht;2017;Baran bo Odar;;
345;Snow White & the Huntsman;2012;Rupert Sanders;;
346;Snowpiercer;2013;Joon-ho Bong;;
347;Solo: A Star Wars Story;2018;Ron Howard;;
348;Southpaw;2015;Antoine Fuqua;;
349;Spider-Man;2002;Sam Raimi;;
350;Spider-Man 2;2004;Sam Raimi;;
351;Spider-Man 3;2007;Sam Raimi;;
352;Spider-Man: Homecoming;2017;Jon Watts;;
353;Spieglein Spieglein - Die wirklich wahre Geschichte von Schneewittchen;2012;Tarsem Singh;;
354;Split;2016;M. Night Shyamalan;;
355;Star Trek;2009;J.J. Abrams;;
356;Star Trek - Into Darkness;2013;J.J. Abrams;;
357;Star Trek Beyond;2016;Justin Lin;;
358;Star Trek I: The Motion Picture;1979;Robert Wise;;
359;Star Trek II: The Wrath of Khan;1982;Nicholas Meyer;;
360;Star Trek III: The Search for Spock;1984;Leonard Nimoy;;
361;Star Trek IV: The Voyage Home;1986;Leonard Nimoy;;
362;Star Trek IX: Insurrection;1998;Jonathan Frakes;;
363;Star Trek V: The Final Frontier;1989;William Shatner;;
364;Star Trek VI: The Undiscovered Country;1991;Nicholas Meyer;;
365;Star Trek VII: Generations;1994;David Carson;;
366;Star Trek VIII: First Contact;1996;Jonathan Frakes;;
367;Star Trek X: Nemesis;2002;Stuart Baird;;
368;Star Trek: Evolutions;2009;Tim King;;
369;Star Trek: Into Darkness;2013;J.J. Abrams;;
370;Star Trek: The Captains' Summit;2009;Tim King;;
371;Star Wars - Das Erwachen der Macht;2015;J.J. Abrams;;
372;Star Wars - Die letzten Jedi;2017;Rian Johnson;;
373;Star Wars: Die dunkle Bedrohung;1999;George Lucas;;
374;Star Wars: Angriff der Klonkrieger;2002;George Lucas;;
375;Star Wars: Die Rache der Sith;2005;George Lucas;;
376;Star Wars: Eine neue Hoffnung;1977;George Lucas;;
377;Star Wars: Das Imperium schlägt zurück;1980;Irvin Kershner;;
378;Star Wars: Die Rückkehr der Jedi Ritter;1983;Richard Marquand;;
379;Stirb langsam - Ein guter Tag zum Sterben;2013;John Moore;;
380;Stirb langsam 4.0;2007;Len Wiseman;;
381;Street Fighter - Die entscheidende Schlacht;1994;Steven E. de Souza;;
382;Street Fighter: Assassin's Fist;2014;Joey Ansah;;
383;Suicide Squad;2016;David Ayer;;
384;Sully;2016;Clint Eastwood;;
385;Susi und Strolch;;;;
386;Susi und Strolch II: Kleine Strolche - Großes Abenteuer!;;;;
387;Taffe Mädels;2013;Paul Feig;;
388;Tarzan;1999;Chris Buck;;
389;Ted;2012;Seth MacFarlane;;
390;Ted 2;2015;Seth MacFarlane;;
391;Teenage Mutant Ninja Turtles;2014;Jonathan Liebesman;;
392;Teenage Mutant Ninja Turtles: Out of the Shadows;2016;Dave Green;;
393;The 12th Man - Kampf ums Ãœberleben;2017;Harald Zwart;;
394;The Accountant;2016;Gavin O'Connor;;
395;The Amazing Spider-Man;2012;Marc Webb;;
396;The Amazing Spider-Man 2: Rise of Electro;2014;Marc Webb;;
397;The Circle;2017;James Ponsoldt;;
398;The Commuter;2018;Jaume Collet-Serra;;
399;The Da Vinci Code: Sakrileg;2006;Ron Howard;;
400;The Dark Knight;2008;Christopher Nolan;;
401;The Dark Knight Rises;2012;Christopher Nolan;;
402;The Equalizer;2014;Antoine Fuqua;;
403;The Equalizer 2: Alles hat Konsequenzen;2018;Antoine Fuqua;;
404;The Expendables;2010;Sylvester Stallone;;
405;The Expendables 2: Back for War;2012;Simon West;;
406;The Fast and the Furious;2001;Rob Cohen;;
407;The Fast and the Furious: Tokyo Drift;2006;Justin Lin;;
408;The First Avenger: Civil War;2016;Anthony Russo;;
409;The Great Wall;2016;Yimou Zhang;;
410;The Green Hornet;2010;Michel Gondry;;
411;The Green Mile;1999;Frank Darabont;;
412;The Hateful 8;2015;Quentin Tarantino;;
413;The Homesman;2014;Tommy Lee Jones;;
414;The Huntsman & the Ice Queen;2016;Cedric Nicolas-Troyan;;
415;The Jungle Book;2016;Jon Favreau ;;
416;The Last Stand;2013;Kim Jee-woon;;
417;The Mechanic;2011;Simon West;;
418;The Nice Guys;2016;Shane Black;;
419;The Pacific;2010;Jeremy Podeswa;;
420;The Return of the First Avenger;2014;Anthony Russo;;
421;The Revenant: Der Rückkehrer;2015;Alejandro G. IÃ±Ã¡rritu;;
422;The Wolf of Wall Street;2013;Martin Scorsese;;
423;Thor;2011;Kenneth Branagh;;
424;Thor: The Dark Kingdom;2013;Alan Taylor;;
425;TinkerBell - Das Geheimnis der Feenflügel;2012;Roberts Gannaway;;
426;TinkerBell und die Piratenfee;2014;;;
427;Titanic;1997;James Cameron;;
428;Tomb Raider;2018;Roar Uthaug;;
429;Top Gun;1986;Tony Scott;;
430;Transcendence;2014;Wally Pfister;;
431;Transporter I;2002;Louis Leterrier;;
432;Transporter II;2005;Louis Leterrier;;
433;Transporter III;2015;Camille Delamarre;;
434;Tränen der Sonne;2003;Antoine Fuqua;;
435;Triple 9;2016;John Hillcoat;;
436;Troja;2004;Wolfgang Petersen;;
437;Trolls;2016;Walt Dohrn;;
438;Türkisch für Anfänger;2012;Bora Dagtekin;;
439;Underworld;2003;Len Wiseman;;
440;Underworld: Aufstand der Lykaner;2009;Patrick Tatopoulos;;
441;Underworld: Awakening;2012;MÃ¥ns MÃ¥rlind;;
442;Underworld: Blood Wars;2016;Anna Foerster;;
443;Underworld: Evolution;2006;Len Wiseman;;
444;Undisputed: Sieg ohne Ruhm;2002;;;
445;Unknown Identity;2011;Jaume Collet-Serra;;
446;Vaiana;2016;Ron Clements;;
447;Valerian: Die Stadt der tausend Planeten;2017;Luc Besson;;
448;Vamps: Dating mit Biss;2012;Amy Heckerling;;
449;Vaterfreuden;2014;Matthias SchweighÃ¶fer;;
450;Vengeance: Pfad der Vergeltung;2017;Johnny Martin;;
451;Vergessene Welt: Jurassic Park;1997;Steven Spielberg;;
452;Vice;2015;Brian A Miller;;
453;Voll abgezockt;2013;Seth Gordon;;
454;Wanted;2008;Timur Bekmambetov;;
455;War;2007;Philip G. Atwell;;
456;Warcraft: The Beginning;2016;Duncan Jones;;
457;Warm Bodies: Zombies mit Herz;2013;Jonathan Levine;;
458;Warrior;2011;Gavin O'Connor;;
459;Wenn ich bleibe;2014;R.J. Cutler;;
460;White House Down;2013;Roland Emmerich;;
461;Wild Wild West;1999;Barry Sonnenfeld;;
462;Wind River;2017;Taylor Sheridan;;
463;Wir waren Helden;2002;Randall Wallace;;
464;Wolverine: Weg des Kriegers;2013;James Mangold;;
465;Wonder Woman;2017;Patty Jenkins;;
466;World War Z;2013;Marc Forster;;
467;X-Men;2000;Bryan Singer;;
468;X-Men 2;2003;Bryan Singer;;
469;X-Men Origins: Wolverine;2009;Gavin Hood;;
470;X-Men: Apocalypse;2016;Bryan Singer;;
471;X-Men: Der letzte Widerstand;2006;Brett Ratner;;
472;X-Men: Erste Entscheidung;2011;Matthew Vaughn;;
473;X-Men: Zukunft ist Vergangenheit;2014;Bryan Singer;;
474;Zero Dark Thirty;2012;Kathryn Bigelow;;
475;Ziemlich beste Freunde;2011;Olivier Nakache;;
476;Zorn der Titanen;2012;Jonathan Liebesman;;
477;Zwei an einem Tag;2011;Lone Scherfig;;
478;xXx: Die Rückkehr des Xander Cage;2017;D.J. Caruso;;
