;Name;Jahr;IMDB;Laufzeit;Regisseur
72;Marvel's The Avengers;2012;tt0848228;143;Joss Whedon
437;Maze Runner: Die Auserwählten in der Todeszone;2018;tt4500922;142;Wes Ball
348;Mechanic: Resurrection;2016;tt3522806;99;Dennis Gansel
305;Mein Freund, der Delfin;2011;tt1564349;113;Charles Martin Smith
43;Men in Black;1997;tt0119654;98;Barry Sonnenfeld
45;Men in Black 3;2012;tt1409024;106;Barry Sonnenfeld
44;Men in Black II;2002;tt0120912;88;Barry Sonnenfeld
42;Men in Black Trilogie;;;292;
320;Merida - Legende der Highlands;2012;tt1217209;91;Mark Andrews
480;Mile 22;2018;tt4560436;95;Peter Berg
456;Mission: Impossible;1996;tt0117060;110;Brian De Palma
453;Mission: Impossible - Phantom Protokoll;2011;tt1229238;133;Brad Bird
454;Mission: Impossible III;2006;tt0317919;125;J.J. Abrams
469;Mission: Impossible: Fallout;2018;tt4912910;147;Christopher McQuarrie
232;Mission: Impossible: Rogue Nation;2015;tt2381249;132;Christopher McQuarrie
477;Monuments Men: Ungewöhnliche Helden;2013;tt2177771;118;George Clooney
475;Mortal Kombat;1995;tt0113855;101;Paul W.S. Anderson
467;Mulan;1998;tt0120762;88;Tony Bancroft
303;Noah;2014;tt1959490;138;Darren Aronofsky
302;Non-Stop;2014;tt2024469;106;Jaume Collet-Serra
301;Oblivion;2013;tt1483013;125;Joseph Kosinski
300;Olympus Has Fallen;2013;tt2302755;119;Antoine Fuqua
476;Operation Walküre: Das Stauffenberg Attentat;2008;tt0985699;120;Bryan Singer
399;Operation: Kingdom;2007;tt0431197;110;Peter Berg
299;Pacific Rim;2013;tt1663662;131;Guillermo del Toro
445;Pacific Rim: Uprising;2018;tt2557478;111;Steven S. DeKnight
297;Pain & Gain;2013;tt1980209;130;Michael Bay
298;Pakt der Rache;2011;tt1214962;105;Roger Donaldson
296;Parker;2013;tt1904996;118;Taylor Hackford
362;Passengers;2016;tt1355644;116;Morten Tyldum
422;Patton;1970;tt0066206;164;Franklin J. Schaffner
458;Peter Hase;2018;tt5117670;95;Will Gluck
322;Peter Pan;1953;tt0046183;77;Clyde Geronimi
338;Pets;2016;tt2709768;86;Yarrow Cheney
355;Phantastische Tierwesen und wo sie zu finden sind;2016;tt3183660;133;David Yates
404;Pirates of the Caribbean: Salazars Rache;2017;tt1790809;129;Joachim Rønning
295;Pitch Black;1999;tt0134847;108;David Twohy
294;Pitch Perfect;2012;tt1981677;112;Jason Moore
293;Pitch Perfect 2;2015;tt2848292;112;Elizabeth Banks
323;Pocahontas;1995;tt0114148;81;Mike Gabriel
379;Power Rangers;2017;tt3717490;124;Dean Israelite
292;Priest;2011;tt0822847;87;Scott Charles Stewart
291;Project X;2012;tt1636826;94;Nima Nourizadeh
288;R.E.D. 2: Noch Älter. Härter. Besser.;2013;tt1821694;116;Dean Parisot
289;R.E.D.: Älter. Härter. Besser.;2010;tt1245526;111;Robert Schwentke
287;R.I.P.D. - Rest in Peace Department;2013;tt0790736;96;Robert Schwentke
425;Ratatouille;2007;tt0382932;111;Brad Bird
459;Ready Player One;2018;tt1677720;140;Steven Spielberg
290;Real Steel;2011;tt0433035;127;Shawn Levy
449;Red Tails;2012;tt0485985;125;Anthony Hemingway
389;Resident Evil;2002;tt0120804;100;Paul W.S. Anderson
390;Resident Evil: Afterlife;2010;tt1220634;97;Paul W.S. Anderson
403;Resident Evil: Apocalypse;2004;tt0318627;98;Alexander Witt
401;Resident Evil: Extinction;2007;tt0432021;93;Russell Mulcahy
391;Resident Evil: Retribution;2012;tt1855325;96;Paul W.S. Anderson
392;Resident Evil: The Final Chapter;2016;tt2592614;107;Paul W.S. Anderson
286;RoboCop;2014;tt1234721;117;José Padilha
285;RockNRolla;2008;tt1032755;116;Guy Ritchie
361;Rogue One: A Star Wars Story;2016;tt3748528;134;Gareth Edwards
284;Rubinrot;2013;tt2418558;122;
283;Sabotage;2014;tt1742334;110;David Ayer
282;San Andreas;2015;tt2126355;114;Brad Peyton
281;Schlussmacher;2013;tt1978524;111;Matthias Schweighöfer
314;Schneewittchen und die sieben Zwerge;1937;tt0029583;83;William Cottrell
280;Seelen;2013;tt1517260;125;Andrew Niccol
279;Seventh Son;2014;tt1121096;102;Sergey Bodrov
278;Sherlock Holmes;2009;tt0988045;129;Guy Ritchie
277;Sherlock Holmes: Spiel im Schatten;2011;tt1515091;129;Guy Ritchie
275;Shoot 'Em Up;2007;tt0465602;86;Michael Davis
276;Shooter;2007;tt0822854;126;Antoine Fuqua
274;Sieben Leben;2008;tt0814314;123;Gabriele Muccino
273;Skyfall;2012;tt1074638;143;Sam Mendes
384;Sleepless: Eine tödliche Nacht;2017;tt2072233;91;Baran bo Odar
272;Snow White & the Huntsman;2012;tt1735898;131;Rupert Sanders
217;Snowpiercer;2013;tt1706620;126;Joon-ho Bong
461;Solo: A Star Wars Story;2018;tt3778644;135;Ron Howard
353;Southpaw;2015;tt1798684;125;Antoine Fuqua
271;Spider-Man;2002;tt0145487;121;Sam Raimi
270;Spider-Man 2;2004;tt0316654;136;Sam Raimi
